id;ref;age;genre;poids;ref_mere;ref_pere;type;race
1;BCEAO Lira Rubber;2022-09-29;empower;89562;Fresh copying Bedfordshire;Refined du;98809;up Generic Baht
2;Alsace program;2022-09-28;Tuna Handcrafted Tools;51794;Jewelery Music experiences;Chair Centre Pastourelle;91708;Account
3;card;2022-09-28;Cheese invoice;96696;Mozambique;compelling;90455;invoice
4;Developpeur;2022-09-29;Unbranded;64793;driver;Beauty;66756;de granular
5;Small Mandatory;2022-09-29;TCP;76754;Salvador SDD;services;56151;Chips Consultant Licensed
6;Steel a deploy;2022-09-28;Superviseur IB regional;84256;withdrawal;a;91339;back-end
7;Lituanie a non-volatile;2022-09-28;Keyboard scale calculating;51774;unleash input Versatile;Coordinateur Dinar;21722;Champagne-Ardenne impactful hard
8;yellow;2022-09-28;Directeur deposit;86406;Sausages;black Berkshire c;60671;synthesize Lituanie
9;Rosiers blue;2022-09-29;functionalities compressing cutting-edge;95691;Stagiaire;Table de navigating;26972;a Plastic purple
10;metrics Coordinateur override;2022-09-29;markets cross-platform encoding;37532;Industrial Concrete;US Computer Borders;60146;Zloty up incentivize
